k_id	work	k	genre	year	mov_id	mov	tempo	time_sig	key	exp_beg	exp_len	tot_cads	cad_no	cad_type	next_key	elided	arr_m	arr_beat	end_m	end_beat	cad_len
9a	Piano Piece	9a (5a)	Piano piece	1764	6		Allegro	4/4	C	1	21	4	4	K4	 	false	21	1.00	22	1.00	4.00
10	Sonata for Piano, Violin (or Flute) and Violoncello	10	Piano trio	1764	7	I	Allegro	4/4	Bb	1	28	4	1	K1	I	false	8	1.00	9	1.00	4.00
10	Sonata for Piano, Violin (or Flute) and Violoncello	10	Piano trio	1764	7	I	Allegro	4/4	Bb	1	28	4	2	K2	V	false	12	1.00	12	3.00	2.00
10	Sonata for Piano, Violin (or Flute) and Violoncello	10	Piano trio	1764	7	I	Allegro	4/4	Bb	1	28	4	3	K3	V	false	14	1.00	15	1.00	4.00
10	Sonata for Piano, Violin (or Flute) and Violoncello	10	Piano trio	1764	7	I	Allegro	4/4	Bb	1	28	4	4	K4	 	false	28	1.00	29	1.00	4.00
11	Sonata for Piano, Violin (or Flute) and Violoncello	11	Piano trio	1764	8	II	Allegro	2/4	G	1	30	4	1	K1	I	false	4	1.50	5	1.00	1.50
11	Sonata for Piano, Violin (or Flute) and Violoncello	11	Piano trio	1764	8	II	Allegro	2/4	G	1	30	4	2	K2	V	false	8	1.00	9	1.00	2.00
11	Sonata for Piano, Violin (or Flute) and Violoncello	11	Piano trio	1764	8	II	Allegro	2/4	G	1	30	4	3	K4	V	true	20	1.00	20	1.00	0.00
11	Sonata for Piano, Violin (or Flute) and Violoncello	11	Piano trio	1764	8	II	Allegro	2/4	G	1	30	4	4	K4	 	false	28	1.00	31	1.00	6.00
13	Sonata for Piano, Violin (or Flute) and Violoncello	13	Piano trio	1764	9	I	Allegro	2/4	F	1	44	3	1	K1	I	false	11	1.00	16	1.00	10.00
13	Sonata for Piano, Violin (or Flute) and Violoncello	13	Piano trio	1764	9	I	Allegro	2/4	F	1	44	3	2	K2	V	false	20	1.00	20	2.50	1.50
13	Sonata for Piano, Violin (or Flute) and Violoncello	13	Piano trio	1764	9	I	Allegro	2/4	F	1	44	3	3	K4	 	false	39	1.00	45	1.00	12.00
14	Sonata for Piano, Violin (or Flute) and Violoncello	14	Piano trio	1764	10	I	Allegro	2/2	C	1	34	3	1	K1	I	false	10	1.00	11	1.00	4.00
14	Sonata for Piano, Violin (or Flute) and Violoncello	14	Piano trio	1764	10	I	Allegro	2/2	C	1	34	3	2	K3	V	false	14	1.00	15	1.00	4.00
14	Sonata for Piano, Violin (or Flute) and Violoncello	14	Piano trio	1764	10	I	Allegro	2/2	C	1	34	3	3	K4	 	false	34	1.00	35	1.00	4.00
15	Sonata for Piano, Violin (or Flute) and Violoncello	15	Piano trio	1764	11	II	Allegro grazioso	2/4	Bb	1	36	3	1	K1	I	false	9	1.00	10	1.00	2.00
15	Sonata for Piano, Violin (or Flute) and Violoncello	15	Piano trio	1764	11	II	Allegro grazioso	2/4	Bb	1	36	3	2	K2	V	false	17	1.00	18	1.00	2.00
15	Sonata for Piano, Violin (or Flute) and Violoncello	15	Piano trio	1764	11	II	Allegro grazioso	2/4	Bb	1	36	3	3	K4	 	false	33	1.00	37	1.00	8.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	12	p	Allegro	3/4	g	1	33	3	1	K1	i	true	11	1.00	11	1.00	0.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	12	p	Allegro	3/4	g	1	33	3	2	K2	III	false	17	1.00	18	1.00	3.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	12	p	Allegro	3/4	g	1	33	3	3	K4	 	false	32	1.00	34	1.00	6.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	13	r	Allegro	3/8	g	1	36	3	1	K1	i	false	4	1.00	5	1.00	1.50
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	13	r	Allegro	3/8	g	1	36	3	2	K2	III	false	9	1.00	10	1.00	1.50
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	13	r	Allegro	3/8	g	1	36	3	3	K4	 	false	21	1.00	37	1.00	24.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	14	t	Allegro	3/4	F	1	55	6	1	K1	I	true	11	1.00	11	1.00	0.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	14	t	Allegro	3/4	F	1	55	6	2	K2	I	false	16	1.00	17	1.00	3.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	14	t	Allegro	3/4	F	1	55	6	3	K1	I	false	28	2.00	29	1.00	2.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	14	t	Allegro	3/4	F	1	55	6	4	K2	V	false	35	1.00	36	1.00	3.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	14	t	Allegro	3/4	F	1	55	6	5	K3	V	false	45	1.00	50	1.00	15.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	14	t	Allegro	3/4	F	1	55	6	6	K4	 	false	54	1.00	56	1.00	6.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	15	v	Allegro	2/4	F	1	47	4	1	K1	I	true	16	1.00	16	1.00	0.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	15	v	Allegro	2/4	F	1	47	4	2	K2	V	false	19	1.00	19	2.00	1.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	15	v	Allegro	2/4	F	1	47	4	3	K3	V	false	26	1.00	37	1.00	22.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	15	v	Allegro	2/4	F	1	47	4	4	K4	 	false	47	1.00	48	1.00	2.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	16	w	Allegro moderato	4/4	Bb	1	10	3	1	K1	I	false	3	3.00	3	4.00	1.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	16	w	Allegro moderato	4/4	Bb	1	10	3	2	K2	V	false	4	3.00	5	1.00	2.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	16	w	Allegro moderato	4/4	Bb	1	10	3	3	K4	 	false	10	1.00	11	1.00	4.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	17	x	Allegro	2/4	F	1	29	4	1	K1	I	false	4	1.00	5	1.00	2.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	17	x	Allegro	2/4	F	1	29	4	2	K2	I	false	13	1.00	19	1.00	12.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	17	x	Allegro	2/4	F	1	29	4	3	K2	V	false	25	2.00	26	1.00	1.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	17	x	Allegro	2/4	F	1	29	4	4	K4	 	false	29	1.00	29	2.00	1.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	18	z	Allegro	6/8	c	1	37	5	1	K1	i	true	9	1.00	9	1.00	0.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	18	z	Allegro	6/8	c	1	37	5	2	K2	III	false	13	1.00	13	2.00	1.50
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	18	z	Allegro	6/8	c	1	37	5	3	K3	III	false	17	1.00	21	1.00	12.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	18	z	Allegro	6/8	c	1	37	5	4	K3	III	false	27	2.00	28	1.00	1.50
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	18	z	Allegro	6/8	c	1	37	5	5	K4	 	false	36	1.00	38	1.00	6.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	19	aa	Allegro	2/4	Bb	1	28	3	1	K1	I	true	5	1.00	5	1.00	0.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	19	aa	Allegro	2/4	Bb	1	28	3	2	K2	V	false	12	1.00	13	1.00	2.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	19	aa	Allegro	2/4	Bb	1	28	3	3	K4	 	false	27	1.00	29	1.00	4.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	20	bb	Allegro	6/8	D	1	19	4	1	K1	I	true	9	1.00	9	1.00	0.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	20	bb	Allegro	6/8	D	1	19	4	2	K2	V	true	12	1.00	12	2.00	1.50
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	20	bb	Allegro	6/8	D	1	19	4	3	K4	V	true	14	1.00	14	1.00	0.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	20	bb	Allegro	6/8	D	1	19	4	4	K4	 	false	18	1.00	20	1.00	6.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	21	cc	Allegro	3/4	Eb	1	29	3	1	K1	I	true	8	1.00	8	1.00	0.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	21	cc	Allegro	3/4	Eb	1	29	3	2	K2	V	false	15	1.00	16	1.00	3.00
15a-ss	London Sketchbook	- (Anh. 109b [partially], 15a-ss)	Piano piece	1764	21	cc	Allegro	3/4	Eb	1	29	3	3	K4	 	false	28	1.00	30	1.00	6.00
16	Symphony	16	Symphony	1765	22	I	Molto allegro	4/4	Eb	1	58	5	1	K1	I	false	22	1.00	23	1.00	4.00
16	Symphony	16	Symphony	1765	22	I	Molto allegro	4/4	Eb	1	58	5	2	K2	V	false	29	1.00	31	1.00	8.00
16	Symphony	16	Symphony	1765	22	I	Molto allegro	4/4	Eb	1	58	5	3	K4	V	true	45	1.00	45	1.00	0.00
16	Symphony	16	Symphony	1765	22	I	Molto allegro	4/4	Eb	1	58	5	4	K4	V	false	53	1.00	53	2.00	1.00
16	Symphony	16	Symphony	1765	22	I	Molto allegro	4/4	Eb	1	58	5	5	K4	 	false	57	1.00	59	1.00	8.00
19	Symphony	19	Symphony	1765	23	I	Allegro	4/4	D	1	46	6	1	K1	I	true	9	1.00	9	1.00	0.00
19	Symphony	19	Symphony	1765	23	I	Allegro	4/4	D	1	46	6	2	K2	V	false	18	1.00	21	1.00	12.00
19	Symphony	19	Symphony	1765	23	I	Allegro	4/4	D	1	46	6	3	K4	V	true	30	1.00	30	1.00	0.00
19	Symphony	19	Symphony	1765	23	I	Allegro	4/4	D	1	46	6	4	K4	V	false	38	1.00	38	1.50	0.50
19	Symphony	19	Symphony	1765	23	I	Allegro	4/4	D	1	46	6	5	K4	V	false	44	1.00	44	1.50	0.50
19	Symphony	19	Symphony	1765	23	I	Allegro	4/4	D	1	46	6	6	K4	 	false	46	1.00	46	2.00	1.00
19	Symphony	19	Symphony	1765	24	III	Presto	3/8	D	1	42	3	1	K2	I	false	12	1.00	13	1.00	1.50
19	Symphony	19	Symphony	1765	24	III	Presto	3/8	D	1	42	3	2	K3	V	false	20	1.00	21	1.00	1.50
19	Symphony	19	Symphony	1765	24	III	Presto	3/8	D	1	42	3	3	K4	 	false	37	1.00	43	1.00	9.00
19a	Symphony	Anh. 223 (19a)	Symphony	1765	25	I	Allegro assai	4/4	F	1	40	4	1	K1	I	false	8	1.00	9	1.00	4.00
19a	Symphony	Anh. 223 (19a)	Symphony	1765	25	I	Allegro assai	4/4	F	1	40	4	2	K2	V	false	18	1.00	19	1.00	4.00
19a	Symphony	Anh. 223 (19a)	Symphony	1765	25	I	Allegro assai	4/4	F	1	40	4	3	K4	V	false	31	1.00	31	1.50	0.50
19a	Symphony	Anh. 223 (19a)	Symphony	1765	25	I	Allegro assai	4/4	F	1	40	4	4	K4	 	false	39	1.00	41	1.00	8.00
19d	Sonata for Piano Four-Hands	- (19d)	Sonata for piano four-hands	1765	26	I	Allegro	2/2	C	1	39	4	1	K1	I	false	16	1.00	17	1.00	4.00
19d	Sonata for Piano Four-Hands	- (19d)	Sonata for piano four-hands	1765	26	I	Allegro	2/2	C	1	39	4	2	K2	V	false	20	1.00	21	1.00	4.00
19d	Sonata for Piano Four-Hands	- (19d)	Sonata for piano four-hands	1765	26	I	Allegro	2/2	C	1	39	4	3	K4	V	true	35	1.00	35	1.00	0.00
19d	Sonata for Piano Four-Hands	- (19d)	Sonata for piano four-hands	1765	26	I	Allegro	2/2	C	1	39	4	4	K4	 	false	39	1.00	40	1.00	4.00
22	Symphony	22	Symphony	1765	27	I	Allegro	4/4	Bb	1	47	4	1	K1	I	true	9	1.00	15	1.00	24.00
22	Symphony	22	Symphony	1765	27	I	Allegro	4/4	Bb	1	47	4	2	K2	V	false	18	1.00	19	1.00	4.00
22	Symphony	22	Symphony	1765	27	I	Allegro	4/4	Bb	1	47	4	3	K4	V	true	31	1.00	31	1.00	0.00
22	Symphony	22	Symphony	1765	27	I	Allegro	4/4	Bb	1	47	4	4	K4	 	true	39	1.00	47	1.00	32.00
26	Sonata for Piano and Violin	26	Violin sonata	1766	28	I	Molto allegro	3/4	Eb	1	30	5	1	K1	I	false	9	1.00	9	2.00	1.00
26	Sonata for Piano and Violin	26	Violin sonata	1766	28	I	Molto allegro	3/4	Eb	1	30	5	2	K2	V	false	11	1.00	11	2.00	1.00
26	Sonata for Piano and Violin	26	Violin sonata	1766	28	I	Molto allegro	3/4	Eb	1	30	5	3	K3	V	false	18	1.00	19	1.00	3.00
26	Sonata for Piano and Violin	26	Violin sonata	1766	28	I	Molto allegro	3/4	Eb	1	30	5	4	K4	V	false	25	1.00	25	1.50	0.50
26	Sonata for Piano and Violin	26	Violin sonata	1766	28	I	Molto allegro	3/4	Eb	1	30	5	5	K4	 	false	29	1.00	31	1.00	6.00
28	Sonata for Piano and Violin	28	Violin sonata	1766	29	I	Allegro maestoso	4/4	C	1	28	4	1	K1	I	true	7	1.00	7	1.00	0.00
28	Sonata for Piano and Violin	28	Violin sonata	1766	29	I	Allegro maestoso	4/4	C	1	28	4	2	K2	V	false	10	1.00	10	2.00	1.00
28	Sonata for Piano and Violin	28	Violin sonata	1766	29	I	Allegro maestoso	4/4	C	1	28	4	3	K3	V	false	11	1.00	11	4.00	3.00
28	Sonata for Piano and Violin	28	Violin sonata	1766	29	I	Allegro maestoso	4/4	C	1	28	4	4	K4	 	false	28	1.00	29	1.00	4.00
28	Sonata for Piano and Violin	28	Violin sonata	1766	30	II	Allegro grazioso	2/4	C	1	34	4	1	K1	I	false	8	2.00	9	1.00	1.00
28	Sonata for Piano and Violin	28	Violin sonata	1766	30	II	Allegro grazioso	2/4	C	1	34	4	2	K2	V	true	16	1.00	16	1.00	0.00
28	Sonata for Piano and Violin	28	Violin sonata	1766	30	II	Allegro grazioso	2/4	C	1	34	4	3	K3	V	false	18	1.00	19	1.00	2.00
28	Sonata for Piano and Violin	28	Violin sonata	1766	30	II	Allegro grazioso	2/4	C	1	34	4	4	K4	 	false	34	1.00	35	1.00	2.00
29	Sonata for Piano and Violin	29	Violin sonata	1766	31	I	Molto allegro	4/4	D	1	25	5	1	K1	I	false	8	1.00	9	1.00	4.00
29	Sonata for Piano and Violin	29	Violin sonata	1766	31	I	Molto allegro	4/4	D	1	25	5	2	K2	V	false	10	1.00	10	3.50	2.50
29	Sonata for Piano and Violin	29	Violin sonata	1766	31	I	Molto allegro	4/4	D	1	25	5	3	K3	V	false	15	1.00	15	4.00	3.00
29	Sonata for Piano and Violin	29	Violin sonata	1766	31	I	Molto allegro	4/4	D	1	25	5	4	K4	V	true	24	1.00	24	1.00	0.00
29	Sonata for Piano and Violin	29	Violin sonata	1766	31	I	Molto allegro	4/4	D	1	25	5	5	K4	 	false	25	1.00	26	1.00	4.00
31	Sonata for Piano and Violin	31	Violin sonata	1766	32	I	Allegro	2/2	Bb	1	31	4	1	K1	I	false	14	1.00	15	1.00	4.00
31	Sonata for Piano and Violin	31	Violin sonata	1766	32	I	Allegro	2/2	Bb	1	31	4	2	K2	V	true	20	1.00	20	1.00	0.00
31	Sonata for Piano and Violin	31	Violin sonata	1766	32	I	Allegro	2/2	Bb	1	31	4	3	K3	V	false	21	1.00	22	1.00	4.00
31	Sonata for Piano and Violin	31	Violin sonata	1766	32	I	Allegro	2/2	Bb	1	31	4	4	K4	 	false	31	1.00	32	1.00	4.00
35	Die Schuldigkeit des ersten Gebots	35	Oratorio/cantata	1767	33	Overture	Allegro	4/4	C	1	37	5	1	K1	I	false	8	1.00	9	1.00	4.00
35	Die Schuldigkeit des ersten Gebots	35	Oratorio/cantata	1767	33	Overture	Allegro	4/4	C	1	37	5	2	K2	V	false	14	1.00	15	1.00	4.00
35	Die Schuldigkeit des ersten Gebots	35	Oratorio/cantata	1767	33	Overture	Allegro	4/4	C	1	37	5	3	K3	V	false	22	1.00	23	1.00	4.00
35	Die Schuldigkeit des ersten Gebots	35	Oratorio/cantata	1767	33	Overture	Allegro	4/4	C	1	37	5	4	K4	V	true	30	1.00	30	1.00	0.00
35	Die Schuldigkeit des ersten Gebots	35	Oratorio/cantata	1767	33	Overture	Allegro	4/4	C	1	37	5	5	K4	 	false	36	1.00	38	1.00	8.00
38	Apollo et Hyacinthus	38	Opera	1767	34	Overture	Allegro	3/4	D	1	41	5	1	K1	I	true	10	1.00	10	1.00	0.00
38	Apollo et Hyacinthus	38	Opera	1767	34	Overture	Allegro	3/4	D	1	41	5	2	K2	V	true	17	1.00	17	1.00	0.00
38	Apollo et Hyacinthus	38	Opera	1767	34	Overture	Allegro	3/4	D	1	41	5	3	K3	V	false	18	1.00	19	1.00	3.00
38	Apollo et Hyacinthus	38	Opera	1767	34	Overture	Allegro	3/4	D	1	41	5	4	K4	V	true	31	1.00	31	1.00	0.00
38	Apollo et Hyacinthus	38	Opera	1767	34	Overture	Allegro	3/4	D	1	41	5	5	K4	 	true	38	1.00	42	1.00	12.00
43	Symphony	43	Symphony	1767	35	I	Allegro	4/4	F	1	49	6	1	K1	I	true	7	1.00	7	1.00	0.00
43	Symphony	43	Symphony	1767	35	I	Allegro	4/4	F	1	49	6	2	K2	V	false	13	1.00	14	1.00	4.00
43	Symphony	43	Symphony	1767	35	I	Allegro	4/4	F	1	49	6	3	K3	V	false	22	1.00	23	1.00	4.00
43	Symphony	43	Symphony	1767	35	I	Allegro	4/4	F	1	49	6	4	K3	V	true	32	1.00	32	1.00	0.00
43	Symphony	43	Symphony	1767	35	I	Allegro	4/4	F	1	49	6	5	K4	V	false	45	1.00	45	2.00	1.00
43	Symphony	43	Symphony	1767	35	I	Allegro	4/4	F	1	49	6	6	K4	 	false	49	1.00	50	1.00	4.00
43	Symphony	43	Symphony	1767	36	IV	Allegro	6/8	F	1	47	4	1	K1	I	false	8	2.00	9	1.00	1.50
43	Symphony	43	Symphony	1767	36	IV	Allegro	6/8	F	1	47	4	2	K2	V	false	16	1.00	17	1.00	3.00
43	Symphony	43	Symphony	1767	36	IV	Allegro	6/8	F	1	47	4	3	K4	V	true	32	1.00	32	1.00	0.00
43	Symphony	43	Symphony	1767	36	IV	Allegro	6/8	F	1	47	4	4	K4	 	false	44	1.00	48	1.00	12.00
45	Symphony	45	Symphony	1768	37	I	Molto allegro	4/4	D	1	44	4	1	K1	I	true	6	1.00	7	1.00	4.00
45	Symphony	45	Symphony	1768	37	I	Molto allegro	4/4	D	1	44	4	2	K1	V	false	16	1.00	17	1.00	4.00
45	Symphony	45	Symphony	1768	37	I	Molto allegro	4/4	D	1	44	4	3	K4	V	true	24	1.00	24	1.00	0.00
45	Symphony	45	Symphony	1768	37	I	Molto allegro	4/4	D	1	44	4	4	K4	 	false	35	1.00	44	2.00	37.00
45	Symphony	45	Symphony	1768	38	IV	Molto allegro	2/4	D	1	51	5	1	K1	I	false	16	1.00	17	1.00	2.00
45	Symphony	45	Symphony	1768	38	IV	Molto allegro	2/4	D	1	51	5	2	K2	V	true	19	1.00	19	1.00	0.00
45	Symphony	45	Symphony	1768	38	IV	Molto allegro	2/4	D	1	51	5	3	K3	V	false	24	1.00	25	1.00	2.00
45	Symphony	45	Symphony	1768	38	IV	Molto allegro	2/4	D	1	51	5	4	K4	V	false	32	1.00	33	1.00	2.00
45	Symphony	45	Symphony	1768	38	IV	Molto allegro	2/4	D	1	51	5	5	K4	 	false	48	1.00	52	1.00	8.00
45a	Symphony	Anh. 221 (45a)	Symphony	1766	39	I	Allegro maestoso	4/4	G	1	36	4	1	K1	I	false	7	1.00	8	1.00	4.00
45a	Symphony	Anh. 221 (45a)	Symphony	1766	39	I	Allegro maestoso	4/4	G	1	36	4	2	K3	V	true	11	1.00	11	1.00	0.00
45a	Symphony	Anh. 221 (45a)	Symphony	1766	39	I	Allegro maestoso	4/4	G	1	36	4	3	K4	V	true	23	1.00	23	1.00	0.00
45a	Symphony	Anh. 221 (45a)	Symphony	1766	39	I	Allegro maestoso	4/4	G	1	36	4	4	K4	 	false	35	1.00	37	1.00	8.00
45a	Symphony	Anh. 221 (45a)	Symphony	1766	40	III	Presto	3/8	G	1	43	2	1	K2	V	false	16	1.00	17	1.00	1.50
45a	Symphony	Anh. 221 (45a)	Symphony	1766	40	III	Presto	3/8	G	1	43	2	2	K4	 	false	24	1.00	44	1.00	30.00
45b	Symphony	Anh. 214 (45b)	Symphony	1768	41	I	Allegro	3/4	Bb	1	45	4	1	K1	I	true	17	1.00	17	1.00	0.00
45b	Symphony	Anh. 214 (45b)	Symphony	1768	41	I	Allegro	3/4	Bb	1	45	4	2	K2	V	true	22	1.00	22	1.00	0.00
45b	Symphony	Anh. 214 (45b)	Symphony	1768	41	I	Allegro	3/4	Bb	1	45	4	3	K3	V	false	24	1.00	25	1.00	3.00
45b	Symphony	Anh. 214 (45b)	Symphony	1768	41	I	Allegro	3/4	Bb	1	45	4	4	K4	 	true	41	1.00	41	1.00	0.00
45b	Symphony	Anh. 214 (45b)	Symphony	1768	42	IV	Allegro	2/4	Bb	1	55	3	1	K1	I	true	17	1.00	17	1.00	0.00
45b	Symphony	Anh. 214 (45b)	Symphony	1768	42	IV	Allegro	2/4	Bb	1	55	3	2	K2	V	false	25	1.00	26	1.00	2.00
45b	Symphony	Anh. 214 (45b)	Symphony	1768	42	IV	Allegro	2/4	Bb	1	55	3	3	K4	 	false	52	1.00	56	1.00	8.00
46e	Sonata for Violin and Bass	46e	Duo for melodic instruments	1768	43	I	Allegro	4/4	F	1	10	3	1	K1	V	false	4	1.00	5	1.00	4.00
46e	Sonata for Violin and Bass	46e	Duo for melodic instruments	1768	43	I	Allegro	4/4	F	1	10	3	2	K4	V	true	8	1.00	8	1.00	0.00
46e	Sonata for Violin and Bass	46e	Duo for melodic instruments	1768	43	I	Allegro	4/4	F	1	10	3	3	K4	 	false	10	1.00	11	1.00	4.00
48	Symphony	48	Symphony	1768	44	I	Allegro	3/4	D	1	33	4	1	K1	I	false	7	1.00	9	1.00	6.00
48	Symphony	48	Symphony	1768	44	I	Allegro	3/4	D	1	33	4	2	K2	V	false	11	1.00	12	1.00	3.00
48	Symphony	48	Symphony	1768	44	I	Allegro	3/4	D	1	33	4	3	K3	V	false	13	1.00	14	1.00	3.00
48	Symphony	48	Symphony	1768	44	I	Allegro	3/4	D	1	33	4	4	K4	 	false	30	1.00	34	1.00	12.00
48	Symphony	48	Symphony	1768	45	IV	Molto allegro	12/8	D	1	29	6	1	K1	I	true	8	3.00	8	3.00	0.00
48	Symphony	48	Symphony	1768	45	IV	Molto allegro	12/8	D	1	29	6	2	K2	V	false	10	3.00	11	1.00	3.00
